訂單日期,產品ID,客戶ID,銷售價格,銷售數量,促銷活動,銷售渠道,地區
2023-01-07 06:17:21.328265653,P001,607,118.7718194850333,4,滿減,線下,北京
2023-01-07 08:02:12.506501300,P001,135,116.36077567764053,4,無,線上,北京
2023-01-07 09:47:03.684736947,P004,580,111.87128172914375,7,VIP,線上,北京
2023-01-07 11:31:54.862972594,P003,147,79.7339072924273,7,折扣,移動端,深圳
2023-01-07 13:16:46.041208241,P003,490,85.00444941700377,5,滿減,線上,上海
2023-01-07 15:01:37.219443888,P001,478,61.03032512440396,3,滿減,線下,上海
2023-01-07 16:46:28.397679536,P003,159,120.48433170348517,3,無,線上,杭州
2023-01-07 18:31:19.575915183,P003,384,110.59723706109965,3,滿減,移動端,上海
2023-01-07 20:16:10.754150830,P001,163,75.85543417840103,2,無,線下,上海
2023-01-07 22:01:01.932386477,P003,441,77.88209235082596,6,VIP,線上,廣州
2023-01-07 23:45:53.110622124,P005,853,88.33102970121399,3,無,線上,廣州
2023-01-08 01:30:44.288857771,P002,189,50.34031136035164,3,折扣,線上,上海
2023-01-08 03:15:35.467093418,P002,415,79.55794008487166,11,無,移動端,廣州
2023-01-08 05:00:26.645329065,P001,339,64.48881697185703,4,VIP,移動端,杭州
2023-01-08 06:45:17.823564713,P004,607,80.71922223252143,10,VIP,線上,上海
2023-01-08 08:30:09.001800360,P001,181,65.22605003340875,8,折扣,線下,廣州
2023-01-08 10:15:00.180036007,P004,288,59.32487697833128,3,無,線上,深圳
2023-01-08 11:59:51.358271654,P002,834,120.45180461138962,7,折扣,線下,廣州
2023-01-08 13:44:42.536507301,P001,187,118.18216644815769,5,VIP,線下,廣州
2023-01-08 15:29:33.714742948,P005,884,80.52451446200035,3,無,移動端,深圳
2023-01-08 17:14:24.892978595,P003,138,106.81053491634025,5,滿減,線上,杭州
2023-01-08 18:59:16.071214242,P004,130,99.39296452097915,6,VIP,移動端,深圳
2023-01-08 20:44:07.249449890,P003,194,116.79943173240324,5,VIP,線上,杭州
2023-01-08 22:28:58.427685537,P003,316,63.62789946679843,5,折扣,線下,深圳
2023-01-09 00:13:49.605921184,P001,984,114.57240263960459,2,VIP,移動端,杭州
2023-01-09 01:58:40.784156831,P003,785,69.0418939158613,6,折扣,移動端,杭州
2023-01-09 03:43:31.962392478,P005,864,66.60343989578467,5,無,移動端,北京
2023-01-09 05:28:23.140628125,P003,144,118.10341398286243,4,滿減,線下,北京
2023-01-09 07:13:14.318863772,P001,16,132.2689606030607,7,滿減,移動端,廣州
2023-01-09 08:58:05.497099419,P005,302,131.7581794706137,5,折扣,線上,深圳
2023-01-09 10:42:56.675335067,P002,423,70.00686837274466,6,滿減,線上,杭州
2023-01-09 12:27:47.853570714,P003,245,117.47299212701972,6,滿減,線下,北京
2023-01-09 14:12:39.031806361,P001,927,80.7794720146455,6,VIP,移動端,廣州
2023-01-09 15:57:30.210042008,P002,107,107.6255709867907,3,VIP,線上,廣州
2023-01-09 17:42:21.388277655,P002,88,63.23776121921873,5,無,移動端,廣州
2023-01-09 19:27:12.566513302,P004,129,61.58768004678231,4,VIP,線上,北京
2023-01-09 21:12:03.744748949,P005,907,72.54281647875412,8,VIP,線下,上海
2023-01-09 22:56:54.922984597,P003,887,91.7766910275319,3,VIP,線上,廣州
2023-01-10 00:41:46.101220244,P001,341,75.575671502887,2,VIP,線上,上海
2023-01-10 02:26:37.279455891,P004,4,116.47635859783549,1,滿減,線上,上海
2023-01-10 04:11:28.457691538,P005,327,125.67236545644786,7,滿減,線下,上海
2023-01-10 05:56:19.635927185,P004,410,114.9894385311339,3,滿減,線上,廣州
2023-01-10 07:41:10.814162832,P005,879,126.42272189236954,2,VIP,線下,杭州
2023-01-10 09:26:01.992398479,P005,306,110.39566573638358,4,滿減,線下,上海
2023-01-10 11:10:53.170634126,P003,908,69.57758224149582,6,無,線上,北京
2023-01-10 12:55:44.348869774,P005,607,134.0844128384585,2,無,移動端,北京
2023-01-10 14:40:35.527105421,P004,721,76.38398469886506,7,VIP,線上,上海
2023-01-10 16:25:26.705341068,P005,225,122.76046249213925,4,滿減,線下,上海
2023-01-10 18:10:17.883576715,P003,971,139.34335541387765,10,無,移動端,上海
2023-01-10 19:55:09.061812362,P003,348,89.13376021460799,8,折扣,線上,北京
2023-01-10 21:40:00.240048009,P004,992,56.33642670379538,6,VIP,線上,深圳
2023-01-10 23:24:51.418283656,P002,321,77.0446958372552,7,無,線上,杭州
2023-01-11 01:09:42.596519303,P002,559,133.06861167212838,3,無,線上,深圳
2023-01-11 02:54:33.774754951,P005,988,95.77193285892959,4,無,線上,北京
2023-01-11 04:39:24.952990598,P001,181,81.59147069884332,8,折扣,移動端,北京
2023-01-11 06:24:16.131226245,P005,618,95.1764883232722,5,折扣,線上,廣州
2023-01-11 08:09:07.309461892,P004,711,93.92645724160647,4,折扣,線下,深圳
2023-01-11 09:53:58.487697539,P004,386,106.96999530963652,4,無,線下,上海
2023-01-11 11:38:49.665933186,P004,618,75.82663257559068,5,折扣,移動端,上海
2023-01-11 13:23:40.844168833,P004,792,82.96495997102195,5,VIP,線下,北京
2023-01-11 15:08:32.022404481,P004,772,97.15797650582687,4,折扣,移動端,廣州
2023-01-11 16:53:23.200640128,P003,108,102.45531444902535,3,VIP,線下,深圳
2023-01-11 18:38:14.378875775,P002,531,93.56749998455525,6,無,移動端,廣州
2023-01-11 20:23:05.557111422,P004,410,127.05280782482852,8,滿減,線上,杭州
2023-01-11 22:07:56.735347069,P001,971,87.09673240957987,5,VIP,線下,廣州
2023-01-11 23:52:47.913582716,P001,296,70.83760107747615,5,VIP,線下,杭州
2023-01-12 01:37:39.091818363,P001,818,72.92315927467475,3,VIP,移動端,深圳
2023-01-12 03:22:30.270054010,P001,171,75.53147909225585,5,無,移動端,上海
2023-01-12 05:07:21.448289658,P003,331,83.87077462641703,5,VIP,移動端,杭州
2023-01-12 06:52:12.626525305,P001,493,130.84310695840483,10,無,線下,上海
2023-01-12 08:37:03.804760952,P004,195,71.88535842681355,4,VIP,移動端,廣州
2023-01-12 10:21:54.982996599,P005,12,104.71189402545258,4,無,線上,廣州
2023-01-12 12:06:46.161232246,P001,195,83.58276635931466,9,滿減,移動端,深圳
2023-01-12 13:51:37.339467893,P003,490,93.49227396821406,5,無,線上,上海
2023-01-12 15:36:28.517703540,P003,795,62.2489697003687,4,無,線上,深圳
2023-01-12 17:21:19.695939187,P001,881,94.48654427108656,2,滿減,移動端,杭州
2023-01-12 19:06:10.874174835,P005,182,95.15736550487595,4,無,線上,廣州
2023-01-12 20:51:02.052410482,P001,962,113.50719860089238,4,無,線上,廣州
2023-01-12 22:35:53.230646129,P003,817,95.02382054824584,5,VIP,線上,廣州
2023-01-13 00:20:44.408881776,P002,656,70.04019687619888,2,無,移動端,廣州
2023-01-13 02:05:35.587117423,P004,898,114.39446049097971,8,VIP,移動端,廣州
2023-01-13 03:50:26.765353070,P003,316,105.25757600554988,3,滿減,線上,杭州
2023-01-13 05:35:17.943588717,P001,694,104.95983792943717,5,無,線下,杭州
2023-01-13 07:20:09.121824365,P004,30,99.77044116537152,4,滿減,線上,深圳
2023-01-13 09:05:00.300060012,P001,596,87.0560638194445,5,滿減,移動端,北京
2023-01-13 10:49:51.478295659,P001,678,84.35604679497453,7,折扣,線上,廣州
2023-01-13 12:34:42.656531306,P002,796,111.88971089821456,6,無,線上,廣州
2023-01-13 14:19:33.834766953,P004,793,56.32760771636113,7,無,移動端,北京
2023-01-13 16:04:25.013002600,P004,96,77.87788115971286,3,VIP,移動端,深圳
2023-01-13 17:49:16.191238247,P002,381,84.26369316591925,8,VIP,線下,杭州
2023-01-13 19:34:07.369473894,P003,778,85.12341211388556,3,折扣,線上,廣州
2023-01-13 21:18:58.547709542,P001,444,103.86622011854251,6,折扣,線上,深圳
2023-01-13 23:03:49.725945189,P005,298,80.70647963508044,6,無,線上,北京
2023-01-14 00:48:40.904180836,P001,808,87.55095382955395,6,無,線下,杭州
2023-01-14 02:33:32.082416483,P001,737,69.749317787069,3,折扣,線下,杭州
2023-01-14 04:18:23.260652130,P003,845,79.96181024738647,1,無,線上,深圳
2023-01-14 06:03:14.438887777,P001,361,91.32033762219343,6,無,移動端,上海
2023-01-14 07:48:05.617123424,P002,374,119.27005549969928,5,無,線上,上海
2023-01-14 09:32:56.795359072,P002,554,58.923290092713096,2,折扣,線上,上海
2023-01-14 11:17:47.973594719,P004,303,88.55628790305808,4,折扣,線上,北京
2023-01-14 13:02:39.151830366,P005,421,57.452444249541614,10,滿減,移動端,上海
2023-01-14 14:47:30.330066013,P001,246,77.36989508005037,3,VIP,線下,深圳
2023-01-14 16:32:21.508301660,P001,720,91.76276749455035,11,滿減,線下,杭州
2023-01-14 18:17:12.686537307,P003,237,141.87149182285162,2,無,線上,深圳
2023-01-14 20:02:03.864772954,P002,534,93.1299423811828,3,無,線上,深圳
2023-01-14 21:46:55.043008601,P005,185,44.968913163727045,3,滿減,線上,廣州
2023-01-14 23:31:46.221244249,P004,468,50.02777732846875,2,滿減,移動端,北京
2023-01-15 01:16:37.399479896,P002,754,100.85073965866702,3,滿減,線上,杭州
2023-01-15 03:01:28.577715543,P004,363,115.34427139474772,6,無,移動端,廣州
2023-01-15 04:46:19.755951190,P003,283,109.38639644068132,6,無,線上,北京
2023-01-15 06:31:10.934186837,P003,553,104.18925264502475,7,滿減,線上,杭州
2023-01-15 08:16:02.112422484,P001,336,103.24519195011335,3,折扣,線上,廣州
2023-01-15 10:00:53.290658131,P005,162,77.85919753341454,5,VIP,線下,上海
2023-01-15 11:45:44.468893778,P004,160,110.13548751060357,2,VIP,線上,深圳
2023-01-15 13:30:35.647129426,P002,474,59.19962787433957,5,滿減,線上,上海
2023-01-15 15:15:26.825365073,P003,601,61.901043341238676,4,折扣,線上,杭州
2023-01-15 17:00:18.003600720,P001,322,49.34156861403414,1,VIP,線上,廣州
2023-01-15 18:45:09.181836367,P001,12,74.50309398660416,3,折扣,移動端,廣州
2023-01-15 20:30:00.360072014,P004,424,88.9591226115073,3,VIP,移動端,廣州
2023-01-15 22:14:51.538307661,P003,73,92.5672835750967,8,VIP,線上,深圳
2023-01-15 23:59:42.716543308,P005,588,101.54708382217838,10,無,移動端,廣州
2023-01-16 01:44:33.894778956,P003,858,61.44893338376544,4,折扣,線上,北京
2023-01-16 03:29:25.073014603,P004,201,85.71958100070265,5,VIP,線上,北京
2023-01-16 05:14:16.251250250,P004,522,50.051066627885035,6,折扣,移動端,北京
2023-01-16 06:59:07.429485897,P003,864,134.08072437830626,3,滿減,移動端,上海
2023-01-16 08:43:58.607721544,P004,505,92.40934817754997,11,滿減,線上,杭州
2023-01-16 10:28:49.785957191,P003,738,70.22227761912619,5,折扣,線下,上海
2023-01-16 12:13:40.964192838,P002,688,125.75115738999186,5,VIP,線上,上海
2023-01-16 13:58:32.142428485,P003,788,68.94383666126927,3,滿減,線上,深圳
2023-01-16 15:43:23.320664133,P003,39,71.86032214920077,7,滿減,線下,上海
2023-01-16 17:28:14.498899780,P004,60,65.3350426904573,2,VIP,移動端,深圳
2023-01-16 19:13:05.677135427,P004,578,98.30321545751295,5,滿減,線下,北京
2023-01-16 20:57:56.855371074,P001,321,110.79079074093994,4,滿減,線上,北京
2023-01-16 22:42:48.033606721,P001,435,106.64269803265125,6,VIP,移動端,上海
2023-01-17 00:27:39.211842368,P002,636,131.43990634989936,4,折扣,線下,上海
2023-01-17 02:12:30.390078015,P001,676,35.01135091598473,5,折扣,線下,北京
2023-01-17 03:57:21.568313662,P003,408,103.69655075529938,3,VIP,線上,廣州
2023-01-17 05:42:12.746549310,P004,923,77.4645621171248,5,VIP,線下,北京
2023-01-17 07:27:03.924784957,P001,386,68.27169702222453,6,折扣,線上,廣州
2023-01-17 09:11:55.103020604,P001,671,76.05512711428776,3,VIP,移動端,北京
2023-01-17 10:56:46.281256251,P002,569,61.824606583840534,7,折扣,線下,杭州
2023-01-17 12:41:37.459491898,P002,78,113.69049669206905,4,折扣,移動端,深圳
2023-01-17 14:26:28.637727545,P003,194,121.05743317534757,2,無,移動端,深圳
2023-01-17 16:11:19.815963192,P004,285,100.57989946393437,12,滿減,線上,杭州
2023-01-17 17:56:10.994198839,P002,527,120.39785443095752,4,VIP,線下,廣州
2023-01-17 19:41:02.172434487,P001,524,62.18677586752811,2,無,移動端,上海
2023-01-17 21:25:53.350670134,P004,613,53.38589737338148,7,折扣,線下,上海
2023-01-17 23:10:44.528905781,P004,156,40.995726025619526,1,VIP,線下,深圳
2023-01-18 00:55:35.707141428,P001,340,82.51463649691782,0,滿減,線下,上海
2023-01-18 02:40:26.885377075,P002,125,83.23397053409506,3,折扣,線下,廣州
2023-01-18 04:25:18.063612722,P001,871,102.57146444830835,10,無,移動端,上海
2023-01-18 06:10:09.241848369,P004,280,82.98683822119762,2,折扣,線下,北京
2023-01-18 07:55:00.420084017,P005,917,58.25122130101316,9,VIP,線上,杭州
2023-01-18 09:39:51.598319664,P005,906,120.07886856535055,3,滿減,線上,深圳
2023-01-18 11:24:42.776555311,P003,622,84.79255036477997,6,折扣,線下,上海
2023-01-18 13:09:33.954790958,P001,846,106.49372133298498,5,VIP,線下,廣州
2023-01-18 14:54:25.133026605,P001,869,47.41285100422383,3,VIP,線上,上海
2023-01-18 16:39:16.311262252,P003,658,86.2298171759558,8,折扣,線下,杭州
2023-01-18 18:24:07.489497899,P003,728,70.30586900206183,4,滿減,移動端,北京
2023-01-18 20:08:58.667733546,P003,910,81.06022681759437,5,VIP,線下,深圳
2023-01-18 21:53:49.845969194,P004,674,113.35912246590958,4,無,線下,深圳
2023-01-18 23:38:41.024204841,P001,128,102.27734015639783,4,無,移動端,廣州
2023-01-19 01:23:32.202440488,P004,314,78.71150050551702,3,滿減,線下,北京
2023-01-19 03:08:23.380676135,P003,332,100.15682890461046,5,滿減,移動端,上海
2023-01-19 04:53:14.558911782,P001,150,61.711617118908926,3,無,移動端,上海
2023-01-19 06:38:05.737147429,P004,454,128.7566848974574,7,滿減,線上,廣州
2023-01-19 08:22:56.915383076,P004,36,94.86789951259372,2,無,線上,北京
2023-01-19 10:07:48.093618723,P003,685,102.37099888510653,7,折扣,線下,廣州
2023-01-19 11:52:39.271854371,P001,420,86.83670782259892,4,無,線上,杭州
2023-01-19 13:37:30.450090018,P003,22,86.91060028983543,3,滿減,線下,杭州
2023-01-19 15:22:21.628325665,P001,206,64.71626426724308,3,折扣,線下,上海
2023-01-19 17:07:12.806561312,P005,639,121.90434829232689,8,滿減,線上,杭州
2023-01-19 18:52:03.984796959,P002,848,82.26422106678811,10,無,線上,廣州
2023-01-19 20:36:55.163032606,P002,957,92.89190864830353,5,折扣,線下,深圳
2023-01-19 22:21:46.341268253,P002,356,81.39482105244096,8,VIP,線下,杭州
2023-01-20 00:06:37.519503901,P003,440,50.60091750270951,1,無,線下,廣州
2023-01-20 01:51:28.697739548,P005,729,68.59371864427068,6,折扣,移動端,深圳
2023-01-20 03:36:19.875975195,P001,96,63.47006517683592,2,VIP,線下,深圳
2023-01-20 05:21:11.054210842,P004,929,100.84756809205844,4,滿減,線下,杭州
2023-01-20 07:06:02.232446489,P001,941,70.23980660813774,4,無,線下,北京
2023-01-20 08:50:53.410682136,P004,164,98.51950201429234,8,折扣,線上,杭州
2023-01-20 10:35:44.588917783,P001,148,87.95079314205688,7,VIP,線上,杭州
2023-01-20 12:20:35.767153430,P005,530,76.44808010482522,4,折扣,移動端,北京
2023-01-20 14:05:26.945389078,P004,294,93.11784275575167,7,折扣,線下,杭州
2023-01-20 15:50:18.123624725,P003,195,124.09767335189656,5,無,線下,廣州
2023-01-20 17:35:09.301860372,P001,663,99.4975312057587,7,滿減,線下,北京
2023-01-20 19:20:00.480096019,P001,480,72.64799326014096,3,VIP,線下,廣州
2023-01-20 21:04:51.658331666,P004,877,55.65075959719677,4,滿減,線下,深圳
2023-01-20 22:49:42.836567313,P003,123,74.56388046670845,8,VIP,線下,北京
2023-01-21 00:34:34.014802960,P003,400,67.65575506704077,7,折扣,線上,深圳
2023-01-21 02:19:25.193038607,P005,699,92.40879269232667,2,VIP,移動端,上海
2023-01-21 04:04:16.371274255,P003,965,82.23419517439439,2,VIP,線上,上海
2023-01-21 05:49:07.549509902,P003,452,117.19832430128571,6,滿減,線上,廣州
2023-01-21 07:33:58.727745549,P003,661,76.20787639640949,8,VIP,線上,深圳
2023-01-21 09:18:49.905981196,P002,104,98.57397082867645,4,無,移動端,深圳
2023-01-21 11:03:41.084216843,P005,755,129.59968607992224,6,滿減,線下,北京
2023-01-21 12:48:32.262452490,P001,462,108.54563034887417,8,滿減,移動端,上海
2023-01-21 14:33:23.440688137,P004,743,98.49906145778588,6,無,線上,廣州
2023-01-21 16:18:14.618923785,P001,991,84.95138895162057,4,無,線上,廣州
2023-01-21 18:03:05.797159432,P005,718,84.16921508212558,6,滿減,線上,北京
2023-01-21 19:47:56.975395079,P004,710,78.73466867620131,6,滿減,線上,北京
2023-01-21 21:32:48.153630726,P005,396,86.47482835542752,4,滿減,線下,廣州
2023-01-21 23:17:39.331866373,P003,912,95.1133167748863,4,折扣,線上,北京
2023-01-22 01:02:30.510102020,P004,337,85.00751389592396,5,VIP,線上,深圳
2023-01-22 02:47:21.688337667,P003,599,66.25567326546923,9,無,線下,廣州
2023-01-22 04:32:12.866573314,P001,142,115.36338586119567,5,折扣,線上,杭州
2023-01-22 06:17:04.044808962,P001,317,86.39930382290328,6,折扣,線下,上海
2023-01-22 08:01:55.223044609,P004,711,51.86113198973661,9,折扣,移動端,上海
2023-01-22 09:46:46.401280256,P004,558,80.05839913708147,3,VIP,線下,杭州
2023-01-22 11:31:37.579515903,P005,800,82.21772765656836,10,折扣,線上,杭州
2023-01-22 13:16:28.757751550,P005,527,142.61480233243444,7,滿減,線下,深圳
2023-01-22 15:01:19.935987197,P003,556,72.29718854352826,6,無,線上,廣州
2023-01-22 16:46:11.114222844,P004,401,111.96091618550881,5,VIP,線上,北京
2023-01-22 18:31:02.292458491,P001,681,121.48844460687772,5,VIP,移動端,上海
2023-01-22 20:15:53.470694139,P005,310,84.28364237313575,9,滿減,線上,杭州
2023-01-22 22:00:44.648929786,P005,495,93.06215952849416,7,無,線上,廣州
2023-01-22 23:45:35.827165433,P001,556,59.2738150525246,7,折扣,線上,北京
2023-01-23 01:30:27.005401080,P005,610,85.42212432569315,5,VIP,線下,上海
2023-01-23 03:15:18.183636727,P003,773,99.08525064142673,2,無,線上,廣州
2023-01-23 05:00:09.361872374,P004,109,104.84212495685334,5,VIP,線上,上海
2023-01-23 06:45:00.540108021,P001,795,127.25458677551117,4,無,線上,深圳
2023-01-23 08:29:51.718343668,P004,372,81.29759838445882,7,無,移動端,上海
2023-01-23 10:14:42.896579316,P005,855,50.81687339435014,3,無,移動端,深圳
2023-01-23 11:59:34.074814963,P005,616,99.46888051809395,3,滿減,線下,深圳
2023-01-23 13:44:25.253050610,P001,768,96.60459442429442,6,VIP,移動端,深圳
2023-01-23 15:29:16.431286257,P003,891,84.98835375370084,3,折扣,移動端,北京
2023-01-23 17:14:07.609521904,P002,206,91.8331688122739,5,滿減,線下,北京
2023-01-23 18:58:58.787757551,P001,847,82.49504199327869,3,折扣,移動端,深圳
2023-01-23 20:43:49.965993198,P002,43,137.88612020880618,8,滿減,線上,廣州
2023-01-23 22:28:41.144228846,P002,865,109.54335422406274,3,滿減,線上,深圳
2023-01-24 00:13:32.322464493,P003,245,90.6657893749229,7,滿減,線上,廣州
2023-01-24 01:58:23.500700140,P002,287,87.49505457260011,5,無,移動端,上海
2023-01-24 03:43:14.678935787,P002,355,86.17832195225105,6,VIP,線下,北京
2023-01-24 05:28:05.857171434,P003,785,140.918499045766,4,無,移動端,廣州
2023-01-24 07:12:57.035407081,P002,476,95.41748226184507,6,無,線下,廣州
2023-01-24 08:57:48.213642728,P002,83,99.5051413869823,7,無,線上,廣州
2023-01-24 10:42:39.391878375,P002,110,87.94216072659242,10,滿減,線下,杭州
2023-01-24 12:27:30.570114023,P001,950,127.47458393604911,7,滿減,線上,北京
2023-01-24 14:12:21.748349670,P001,190,119.19674509489352,6,折扣,移動端,杭州
2023-01-24 15:57:12.926585317,P001,983,100.13879361220624,4,VIP,移動端,上海
2023-01-24 17:42:04.104820964,P003,800,102.06932259463565,6,無,線下,廣州
2023-01-24 19:26:55.283056611,P005,936,100.91957082935588,2,無,移動端,北京
